bus_id,line_id,starting_city,departure_node,departure_timestep,arrival_city,arrival_node,arrival_timestep,day_type,E_total_start,E_total_end,E_total,travel_time
50402,502,Chiasso_Stazione,1,933,Cantine_di_Sotto,2,969,lu_vac,99.606,100.548,0.9420000000000073,36
50403,502,Chiasso_Stazione,1,963,Cantine_di_Sotto,2,999,lu_vac,99.804,100.753,0.9489999999999981,36
50202,502,Chiasso_Stazione,1,993,Cantine_di_Sotto,2,1029,lu_vac,98.602,99.561,0.9590000000000032,36
50203,502,Chiasso_Stazione,1,1023,Cantine_di_Sotto,2,1059,lu_vac,98.568,99.53,0.9620000000000033,36
50201,502,Chiasso_Stazione,1,1053,Cantine_di_Sotto,2,1089,lu_vac,98.545,99.51,0.9650000000000034,36
50401,502,Chiasso_Stazione,1,1083,Cantine_di_Sotto,2,1119,lu_vac,121.176,122.145,0.9689999999999941,36
50402,502,Chiasso_Stazione,1,1113,Cantine_di_Sotto,2,1149,lu_vac,124.346,124.346,9.381581818181818,36
50403,502,Chiasso_Stazione,1,1143,Cantine_di_Sotto,2,1179,lu_vac,124.563,124.563,9.381581818181818,36
50202,502,Chiasso_Stazione,1,1173,Cantine_di_Sotto,2,1209,lu_vac,123.392,123.392,9.381581818181818,36
50402,502,Chiasso_Stazione,1,1203,Cantine_di_Sotto,2,1239,lu_vac,124.346,124.346,9.381581818181818,36
50403,502,Chiasso_Stazione,1,1233,Cantine_di_Sotto,2,1269,lu_vac,124.563,124.563,9.38158181818182,36
50202,502,Chiasso_Stazione,1,1263,Cantine_di_Sotto,2,1299,lu_vac,123.392,123.392,9.38158181818182,36
50402,502,Chiasso_Stazione,1,1293,Cantine_di_Sotto,2,1329,lu_vac,124.346,124.346,9.38158181818182,36
50403,502,Chiasso_Stazione,1,1323,Cantine_di_Sotto,2,1359,lu_vac,124.563,124.563,9.381581818181822,36
50202,502,Chiasso_Stazione,1,1353,Cantine_di_Sotto,2,1389,lu_vac,123.392,123.392,9.381581818181822,36
50402,502,Chiasso_Stazione,1,1383,Cantine_di_Sotto,2,1419,lu_vac,124.346,124.346,9.381581818181822,36
50201,502,Cantine_di_Sotto,2,380,Chiasso_Stazione,1,418,lu_vac,0.0,0.0,3.5005178571428566,38
50401,502,Cantine_di_Sotto,2,410,Chiasso_Stazione,1,448,lu_vac,21.118,22.196,1.078000000000003,38
50402,502,Cantine_di_Sotto,2,440,Chiasso_Stazione,1,478,lu_vac,24.792,25.875,1.0829999999999984,38
50403,502,Cantine_di_Sotto,2,470,Chiasso_Stazione,1,508,lu_vac,25.029,26.116,1.0869999999999997,38
50202,502,Cantine_di_Sotto,2,500,Chiasso_Stazione,1,538,lu_vac,23.929,25.022,1.093,38
50203,502,Cantine_di_Sotto,2,530,Chiasso_Stazione,1,568,lu_vac,23.935,25.031,1.096,38
50201,502,Cantine_di_Sotto,2,560,Chiasso_Stazione,1,598,lu_vac,23.935,25.031,1.096,38
50401,502,Cantine_di_Sotto,2,590,Chiasso_Stazione,1,628,lu_vac,46.599,47.687,1.088000000000001,38
50402,502,Cantine_di_Sotto,2,620,Chiasso_Stazione,1,658,lu_vac,50.258,51.333,1.0749999999999957,38
50403,502,Cantine_di_Sotto,2,650,Chiasso_Stazione,1,688,lu_vac,50.475,51.537,1.0619999999999976,38
50202,502,Cantine_di_Sotto,2,680,Chiasso_Stazione,1,718,lu_vac,49.351,50.395,1.044000000000004,38
50203,502,Cantine_di_Sotto,2,710,Chiasso_Stazione,1,748,lu_vac,49.343,50.379,1.0359999999999943,38
50201,502,Cantine_di_Sotto,2,740,Chiasso_Stazione,1,778,lu_vac,49.335,50.367,1.0319999999999965,38
50401,502,Cantine_di_Sotto,2,770,Chiasso_Stazione,1,808,lu_vac,71.979,73.008,1.0289999999999964,38
50402,502,Cantine_di_Sotto,2,800,Chiasso_Stazione,1,838,lu_vac,75.613,76.638,1.0250000000000057,38
50403,502,Cantine_di_Sotto,2,830,Chiasso_Stazione,1,868,lu_vac,75.809,76.834,1.0250000000000057,38
50202,502,Cantine_di_Sotto,2,860,Chiasso_Stazione,1,898,lu_vac,74.628,75.634,1.0060000000000002,38
50203,502,Cantine_di_Sotto,2,890,Chiasso_Stazione,1,928,lu_vac,74.596,75.597,1.0009999999999906,38
50201,502,Cantine_di_Sotto,2,920,Chiasso_Stazione,1,958,lu_vac,74.574,75.572,0.9980000000000047,38
50401,502,Cantine_di_Sotto,2,950,Chiasso_Stazione,1,988,lu_vac,97.209,98.203,0.9939999999999998,38
50402,502,Cantine_di_Sotto,2,980,Chiasso_Stazione,1,1018,lu_vac,100.836,101.83,0.9939999999999998,38
50403,502,Cantine_di_Sotto,2,1010,Chiasso_Stazione,1,1048,lu_vac,101.042,102.043,1.0010000000000048,38
50202,502,Cantine_di_Sotto,2,1040,Chiasso_Stazione,1,1078,lu_vac,99.854,100.866,1.0120000000000005,38
50203,502,Cantine_di_Sotto,2,1070,Chiasso_Stazione,1,1108,lu_vac,99.824,100.84,1.0160000000000053,38
50201,502,Cantine_di_Sotto,2,1100,Chiasso_Stazione,1,1138,lu_vac,99.805,100.825,1.019999999999996,38
50401,502,Cantine_di_Sotto,2,1130,Chiasso_Stazione,1,1168,lu_vac,122.441,123.464,1.0229999999999961,38
50402,502,Cantine_di_Sotto,2,1160,Chiasso_Stazione,1,1198,lu_vac,124.346,124.346,3.500517857142856,38
50403,502,Cantine_di_Sotto,2,1190,Chiasso_Stazione,1,1228,lu_vac,124.563,124.563,3.5005178571428566,38
